scenario_id,ID,v_pen,S,depth,qb_fast,qs_fast,qb_ref,qs_ref,res_qb,res_qs,res_qb_norm,res_qs_norm,is_shallow
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,4.5,22.30688,21.854998,20.831048,15.906298,-1.475832,-5.9487,-0.11297358074517924,-0.20388383059817985,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,4.6,22.762459,22.521891,21.212837,16.207339,-1.549622,-6.314552,-0.11862213730391138,-0.2164229243820327,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,4.7,23.252899,22.676792,21.499689,16.393557,-1.75321,-6.283234,-0.13420661125267355,-0.21534954132242745,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,4.8,23.711589,22.790214,21.98941,16.58124,-1.722178,-6.208973,-0.1318311402250197,-0.21280434369201218,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,4.9,24.010347,22.767597,22.390521,16.674942,-1.619826,-6.092656,-0.12399618886441052,-0.20881773224351274,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,5.0,24.331136,22.603449,22.494606,16.863602,-1.836529,-5.739847,-0.1405846039876919,-0.19672567004681207,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,5.1,24.727484,22.773932,22.711022,16.792427,-2.016462,-5.981505,-0.1543583094665149,-0.20500817861754098,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,5.2,25.011004,22.610207,23.088878,17.375864,-1.922126,-5.234343,-0.14713697552526872,-0.17940018852938772,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,5.3,25.303621,22.568103,23.369981,17.413514,-1.93364,-5.154589,-0.1480183616238897,-0.17666672558361346,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,5.4,25.70056,22.649516,23.875472,17.820365,-1.825088,-4.829151,-0.13970880597185703,-0.16551276823793956,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,5.5,26.131857,22.919137,24.110694,17.665032,-2.021163,-5.254105,-0.15471816668812488,-0.18007750496159664,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,5.6,26.424529,23.09186,24.751761,17.565997,-1.672767,-5.525863,-0.1280487736696123,-0.18939165125166005,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,5.7,26.53362,22.776774,25.102917,17.819605,-1.430703,-4.957169,-0.10951899734717108,-0.16990041599720088,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,5.8,26.815449,22.754725,25.436875,17.924174,-1.378574,-4.83055,-0.10552857039432993,-0.16556071711399764,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,5.9,27.228777,22.949221,25.669899,17.670641,-1.558878,-5.27858,-0.1193306755815591,-0.1809163532400256,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,6.0,27.399621,22.737843,25.650551,17.63575,-1.74907,-5.102094,-0.13388969806452947,-0.17486752883688705,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,6.1,27.684158,22.733759,25.601139,17.530047,-2.083019,-5.203711,-0.15945318653494608,-0.17835031721315334,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,6.2,28.128659,22.838439,25.801253,17.469845,-2.327406,-5.368595,-0.17816078636851257,-0.18400149839968993,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,6.3,28.365525,22.940469,26.097851,17.047858,-2.267674,-5.892611,-0.17358835676604356,-0.2019614542513442,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,6.4,28.693602,23.035926,26.263132,17.010222,-2.43047,-6.025703,-0.18605024067355622,-0.20652300665472192,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,6.5,28.954862,22.932448,26.599125,17.273121,-2.355737,-5.659327,-0.18032949833308012,-0.1939659534633963,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,6.6,29.212855,22.831269,27.016777,17.117213,-2.196078,-5.714056,-0.16810774888721192,-0.1958417176076308,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,6.7,29.642733,22.931088,27.496875,17.357656,-2.145858,-5.573432,-0.16426345412668167,-0.1910220158586708,0
